,Unnamed: 0,date,title,category,body,source
230,230,March 8,California Prepares to Dock Cruise Ship With 21 Virus Cases,U.S.,As the U.,By Reuters
231,231,March 9,"Being Called a Cult Is One Thing, Being Blamed for an Epidemic Is Quite Another",Opinion,How one mysterious church became a lightning rod for South Koreans’ anger over the coronavirus outbreak.,By The Associated Press
232,232,March 17,European Chief Hansen Suffers Stroke,Sports,"European Athletics President Svein Arne Hansen has suffered a serious stroke and is recovering in hospital, federation chief executive Christian Milz said on Tuesday.",By E. Tammy Kim
233,233,March 11,AP FACT CHECK: Trump Is Wrong About Insurers and Coronavirus,Politics,President Donald Trump incorrectly stated in his address to the nation that the health insurance industry has agreed to waive patient co-payments for treatment of COVID-19. The industry has not made such a commitment. ,By Reuters
234,234,March 10,She’s Been a Nurse for 10 Years. Panic Has Finally Arrived.,Opinion,Lasana Bridges is on the front lines of the coronavirus epidemic. “There’s no magic pill to take care of it.”,By Reuters
235,235,March 16,"U.S. CDC Reports 3,536 Coronavirus Cases, 68 Deaths",U.S.,"The U.S. Centers for Disease Control and Prevention (CDC) on Monday reported 3,536 cases of the coronavirus, an increase of  1,858 cases from its previous count reported on March 13, and said the number of deaths had risen by 27 to 68.",By Reuters
236,236,March 16,Healthcare Group Novacyt Wins British Orders for Coronavirus Testing Product,Europe,"Novacyt, a healthcare company specializing in clinical diagnostics, said on Monday the British government had started on orders for its product that is aimed at carrying out tests on the coronavirus that has killed thousands across the world.",By Celine Tien
237,237,March 18,Detroit Automakers Idle U.S. Plants to Combat Coronavirus Outbreak,U.S.,"The Detroit Three automakers will shut down their U.S. plants to stop the spread of coronavirus, bowing to pressure from the union representing about 150,000 hourly workers at those facilities, industry officials said.",By Reuters
238,238,March 7,I’m Chinese. That Doesn’t Mean I Have Coronavirus.,Opinion,"“If you’re scared of me, get up and leave.”",By The Associated Press
239,239,March 17,"From Honey to Hand Sanitizer, Small UK Distillery Joins the Coronavirus Fight",Europe,A small British company which makes honey and gin is to start producing alcohol-based hand sanitizer products by the end of the week to tackle a national shortage sparked by the coronavirus pandemic. ,By The Associated Press
240,240,March 16,EU Funds Firm Developing Virus Vaccine Amid US Interest,Business,The European Union on Monday announced a multimillion-dollar investment in a German company that is working on a potential vaccine for the new coronavirus amid reports that the U.S. government was interested in acquiring the firm. ,By The Associated Press
241,241,March 18,"Best Strategies Against Virus: Track, Isolate, Communicate",Asia Pacific,"Singapore, a tiny city-state of less than 6 million people, had one of the earliest and biggest clusters of cases of the coronavirus in early February, before it began its rapid, inexorable expansion around the globe. ",By Reuters
242,242,March 18,AP PHOTOS: Virus Redefines Respecting Personal Space,Business,"Social distancing could qualify as an oxymoron in Italy, where walking arm-in-arm with friends, kissing neighbors in greeting and patting the heads of babies are part of the demonstrative culture.",By Reuters
243,243,March 16,EU Tightens Short-Selling Rules Amid Coronavirus Rout,Business,"Hedge funds and other investors will have to give regulators more information about the bets they are taking, the European Union's markets watchdog announced on Monday, warning that a markets slump triggered by the coronavirus could last weeks.",By The Associated Press
244,244,March 10,Moldova Bans Foreigners on All Flights From Countries With Coronavirus,Asia Pacific,Moldova has banned all foreigners from entering by plane from any country affected by the coronavirus.,By Reuters
245,245,March 11,The Latest: US Advises Americans to Reconsider Travel Abroad,Business,The Latest on the coronavirus pandemic:,By Reuters
246,246,March 10,Democratic Presidential Candidates Scrap Plans Over Coronavirus Crisis,Politics,"Democratic presidential candidates Joe Biden and Bernie Sanders canceled primary election-night rallies on Tuesday, bowing to guidance from public officials over the coronavirus outbreak, and the party said the next debate between the two would have no audience.",By The Associated Press
247,247,March 12,Coronavirus Weighs on Strained American System to Care for Homeless,U.S.,"Dexter Johnson often comes to the Bowery Mission to get a free meal, having struggled off and on with homelessness, but the 33-year-old New Yorker is thinking twice about sitting down in the crowded cafeteria and risking exposure to novel coronavirus.      ",By Reuters
248,248,March 9,US Warns 7 Companies Over Fraudulent Coronavirus Claims,Health,"U.S. regulators warned seven companies to stop selling soaps, sprays and other concoctions with false claims that they can treat the new coronavirus or keep people from catching it. ",By Reuters
249,249,March 8,Ten Die at Collapsed China Quarantine Hotel; Virus Spread Slows Ex-Wuhan,Asia Pacific,"Ten people have died and 23 remain trapped after the collapse of a hotel that was being used to quarantine people under observation for the coronavirus in the Chinese city of Quanzhou, authorities said on Sunday.",By The Associated Press
250,250,March 8,Ten Die at Collapsed China Quarantine Hotel; Virus Spread Slows Ex-Wuhan,Asia Pacific,"Ten people have died and 23 remain trapped after the collapse of a hotel that was being used to quarantine people under observation for the coronavirus in the Chinese city of Quanzhou, authorities said on Sunday.",By The Associated Press
251,251,March 16,The Latest: SKorea Warns Churches Over Flouting Restrictions,Business,"The Latest on the coronavirus  pandemic, which has infected more than 182,000 people and killed more than 7,100.",By Reuters
252,252,March 8,"Bahrain Grand Prix, World Soccer Among Events Hit by Virus",Sports,"Formula One's Bahrain Grand Prix has been closed to spectators due to the global virus outbreak, but won't be postponed like the Chinese round of the championship.",By The Associated Press
253,253,March 11,Sports World Adjusting to Coronavirus Crisis,Sports,"Professional and college sports are attempting to adjust to a rapidly escalating health crisis, with leagues, colleges and public institutions around the world Wednesday announcing cancellations, postponements and changes of venues.",By The Associated Press
254,254,March 14,The Latest: Kroenke to Pay Arena Employees During Shutdown,Sports,The Latest on the coronavirus outbreak's effect on sports around the world (all times local):,By Reuters
255,255,March 7,Virus May Have US Sports Leagues Cutting Locker-Room Access,Sports,"The NBA, NHL, Major League Baseball and Major League Soccer are all weighing plans to restrict access to locker rooms as a precaution to protect players from exposure to the coronavirus, as concern over the situation continued escalating Saturday.",By Reuters
256,256,March 17,"EU-China Summit Postponed by Coronavirus, EU Commission Says",Europe,"A summit between China and the European Union has been postponed due to the coronavirus pandemic, the European Commission said on Tuesday, confirming a Reuters report on March 12.",By The Associated Press
257,257,March 12,Blackstone Says No Blanket Policy to Tap Credit Lines,Business,"Private equity firm Blackstone Group Inc does not have a sweeping directive in place to encourage companies in its portfolio to draw down credit lines in a bid to ride out the coronavirus pandemic, the company said in a statement.",By Reuters
258,258,March 11,Q&A: What the WHO Pandemic Declaration Means,Health,The new coronavirus outbreak is now a pandemic. So what does that mean?,By Reuters
259,259,March 12,New York State Bans Gatherings Exceeding 500 People on Coronavirus Fears,U.S.,"New York State will ban gatherings of more than 500 people beginning on Friday at 5 p.m. (2100 GMT) , to slow the spread of the new coronavirus, Governor Andrew Cuomo said on Thursday.",By Carl Zimmer
260,260,March 18,Indian Guru's Tips to Ward Off Coronavirus Anger Health Professionals,Asia Pacific,Indian healthcare professionals are questioning claims by popular yoga guru and entrepreneur Baba Ramdev who said he has found an ayurvedic remedy that would help ward off coronavirus. ,By Reuters
261,261,March 17,Hundreds of Scientists Scramble to Find a Coronavirus Treatment,Science,"In an ambitious international collaboration, researchers have “mapped” proteins in the coronavirus and identified 50 drugs to test against it.",By The Associated Press
262,262,March 17,"Brazil's Bolsonaro Has Second Coronavirus Test, Results Could Be Out Tuesday",Americas,"Brazil's President Jair Bolsonaro on Tuesday underwent his second coronavirus test, after it has emerged in recent days that he has had contact with a growing number of people now known to have contracted the virus.",By Reuters
263,263,March 9,Infected Cruise Ship Unloads Passengers in California,U.S.,"The cruise ship forced to idle for days off the California coast because of a cluster of coronavirus cases aboard arrived in port Monday, and dozen of passengers began to leave for military bases where they would be quarantined or to return to their home countries.",By The Associated Press
264,264,March 15,"Oil Slides Again, Squeezed Between Coronavirus Demand Hit and Price War Bite",Business,Oil extended losses on Monday as an emergency rate cut by the U.S. Federal Reserve failed to soothe global financial markets panicked by the rapid spread of the coronavirus while a price war rages on between top producers.,By The Associated Press
265,265,March 15,Several African Nations Roll Out Measures to Fight Virus,Africa,"Several African countries have announced sweeping restrictions to try to contain the steady spread of the coronavirus, which has reached at least 25 of Africa's 54 countries.",By Johnny Diaz and Karen Zraick
266,266,March 15,Japan Central Bank Boosts Stimulus Following Fed Rate Cut,Business,The Bank of Japan joined other major central banks Monday in expanding its already unprecedented levels of monetary support for financial markets and companies battered by the outbreak of the coronavirus. ,By Reuters
267,267,March 11,"Walmart, Uber and Others Tweak Sick-Leave Policies as Coronavirus Spreads",Business,"The companies, and other businesses, like Instacart, have also said they would compensate workers who contract the virus or are subject to quarantine orders.",By Reuters
268,268,March 12,G7 Finance Meeting to Be Held by Videoconference Amid Coronavirus Restrictions,U.S.,"The U.S. Treasury said on Thursday it will host the next meeting of G7 finance ministers and central bank governors by videoconference amid coronavirus travel restrictions, canceling a physical gathering that had been planned for Philadelphia next month.",By The Associated Press
269,269,March 18,"Goldman Tells Most Staff in Americas, EMEA to Work From Home",Business,"Goldman Sachs said it has instructed most of its staff in the Americas, Europe, the Middle East and Africa to work from home from Wednesday until further notice, according to an internal notice the bank posted on its website late on Tuesday.  ",By Reuters
270,270,March 15,Paris Without Its Cafes? Virus Shutdown Hits France's Core,Europe,What's it like in France after government orders restaurants and bistros to close to contain  the spreading coronavirus?,By Reuters
271,271,March 15,"African Nations Close Borders, Cancel Flights to Contain Coronavirus Spread",Africa,"Several African governments on Sunday closed borders, canceled flights and imposed strict entry and quarantine requirements to contain the spread of the new coronavirus, which has a foothold in at least 26 countries on the continent as cases keep rising. ",By The Associated Press
272,272,March 8,"Analyst View: Oil Price Plunge, Coronavirus Fears Unleash Market Chaos",Business,Financial markets have been thrown into turmoil following Saudi Arabia's response to the collapse of OPEC+ talks and concerns about the global spread of the coronavirus. ,By The Associated Press
273,273,March 8,AP FACT CHECK: Trump's Misguided Boast on Virus Poll Ratings,Politics,"President Donald Trump is making a misleading boast about his job performance on the coronavirus, claiming that recent polls point to high public approval even after delays by the federal government in distributing test kits to diagnose and stem the illness.",By The Associated Press
274,274,March 8,Oil Plunges 25% as Another Virus-Fueled Trading Week Begins,Business,Oil prices are plunging amid concern a dispute among producers could lead a global economy weakened by COVID-19 to be awash in an oversupply of crude.,By Reuters
275,275,March 12,Polish Court Again Defers Verdict on Legality of New Judges,Europe,Poland's constitutional court on Thursday deferred for the second time its ruling on whether recent appointments of judges under new regulations introduced by the right-wing government are legitimate. ,By Gerald Posner
276,276,March 9,"Team USA Postpones Athlete Media Summit, Citing Coronavirus Concerns",Olympics,"The U.S. Olympic and Paralympic Committee (USOPC) has postponed its 2020 Team USA Media Summit, where top U.S. athletes were expected to gather in Los Angeles next week ahead of the Tokyo Games, citing concerns over the global coronavirus outbreak.",By The Associated Press
277,277,March 2,Big Pharma May Pose an Obstacle to Vaccine Development,Contributors,Concerns about profits and liability have often kept them from moving quickly enough.,By Reuters
278,278,March 11,Will Heat Stop the Spread of New Virus? No One Really Knows,Asia Pacific,As outbreaks of the new coronavirus that first emerged in China continue to spread in more than 100 countries — particularly those experiencing winter — one of the biggest unanswered questions is how it will behave in warmer weather. ,By Reuters
279,279,March 17,"Canada's Ontario Shuts Down Most Public Venues, Declares State of Emergency",Americas,"Ontario, Canada's most populous province, banned gatherings of more than 50 people and ordered the closure of bars and restaurants on Tuesday in a bid to slow the spread of the coronavirus.",By The Associated Press
280,280,March 10,Google Recommends All North America Employees to Work From Home,Technology,"Alphabet Inc's Google is recommending all of its North American employees to work from home if their roles permit, the search giant said on Tuesday, aiming to minimize the risk of spreading the coronavirus.",By Reuters
281,281,March 11,Will Heat Stop the Spread of New Virus? No One Really Knows,Asia Pacific,As outbreaks of the new coronavirus that first emerged in China continue to spread in more than 100 countries — particularly those experiencing winter — one of the biggest unanswered questions is how it will behave in warmer weather. ,By The Associated Press
282,282,March 16,Johnson & Johnson Says No Evidence HIV Drug Works Against Coronavirus,U.S.,"Johnson & Johnson said on Monday there is no evidence its HIV drug, Prezista, had any effect against the coronavirus, in response to reports that the drug could inhibit the virus.  ",By Reuters
283,283,March 16,"Automakers Dodged Parts Shortage, but Virus Poses New Threat",Business,"When the coronavirus cut off the flow of parts from China in early January, most global automakers were ready: Anticipating such a crisis, they had prepared to tap other suppliers and to conserve parts that they had stored. ",By The Associated Press
284,284,March 15,"Oil Giants Set Health Checks for Critical Staff, Work-From-Home Rules",Business,Major energy companies in the United States imposed work-from-home rules for office staff and began health checks for remote or critical workers as coronavirus spread and threatened an industry reeling from falling demand and profits. ,By Reuters
285,285,March 14,The Latest: Oregon Reports First Death From New Coronavirus,Business,"The Latest on the world's coronavirus pandemic, which has infected more than 150,000 people and killed more than 5,700. The disease for most people causes only mild or moderate symptoms. For some, it can cause more severe illness.",By The Associated Press
286,286,March 10,Ryanair Lowers 2020 Traffic Target as Italy Imposes Lockdown,Europe,"Ryanair on Tuesday said it will cancel almost all of its flights to and from Italy for the next month, forcing it to cut its full year passenger forecast to end-March by 3 million.",By Yi-Zheng Lian
287,287,March 7,AP FACT CHECK: Trump's Sunny Side Up Take on Coronavirus,Business,"As the stock market convulses, airline schedules buckle and businesses worry their overseas supply lines will snap, President Donald Trump is looking on the sunny side of an economy clouded by the coronavirus.",By Reuters
288,288,Feb. 20,Why Did the Coronavirus Outbreak Start in China?,Sunday Review,Let’s talk about the cultural causes of this epidemic.,By The Associated Press
289,289,March 13,Fiat Chrysler Plant Resumes Production After 24-Hour Halt Over Coronavirus Fears,Business,"Fiat Chrysler Automobiles NV said production at its assembly plant in Windsor, Ontario, which was halted for 24 hours over fears of an employee being possibly exposed to the coronavirus, has resumed on Friday afternoon. ",By The Associated Press
290,290,March 6,"What's Happening: Cruise Ship Tests, Prisons Sanitized",Business,"As cases of the new coronavirus surpassed 100,000 worldwide, people on a cruise ship tested positive, Tokyo Olympics organizers are adjusting for the torch's arrival in Japan, migrants headed to Europe are facing added hardships and shoppers around the globe continue stocking up.",By Koichi Nakano
291,291,4h ago,"Contagion of Fear, Uncertainty Infect Financial Markets",Business,The rapidly deteriorating health of the financial markets is being driven by a contagion of fear and uncertainty about a global pandemic that's infecting the economy in ways that seemed unfathomable just a month ago.,By The Associated Press
292,292,Feb. 26,Japan Can’t Handle the Coronavirus. Can It Host the Olympics?,Opinion,How leaders’ sense of entitlement breeds indifference and incompetence.,"By Josh Katz, Margot Sanger-Katz and Kevin Quealy"
293,293,March 18,Answers to Your Coronavirus Questions,Health,"Symptoms, Social Distancing and More Reporting From The New York Times","By Margot Sanger-Katz, Sarah Kliff and Alicia Parlapiano"
294,294,March 17,Durant Among 4 Nets to Test Positive for New Coronavirus,Pro Basketball,"Four Brooklyn Nets players, including Kevin Durant, have tested positive for the new coronavirus, bringing the total to seven known players in the NBA.",By Reed Abelson
295,295,March 16,Could Coronavirus Cause as Many Deaths as Cancer in the U.S.? Putting Estimates in Context,The Upshot,How the best- and worst-case scenarios compare with other common killers.,By Reuters
296,296,March 17,These Places Could Run Out of Hospital Beds as Coronavirus Spreads,The Upshot,"New estimates from a Harvard research team show that, in many parts of the country, there may not be enough hospital beds and staff for coronavirus patients. A shortage of intensive care beds for the sickest patients may be even worse.",By Reuters
297,297,March 11,Doctors and Patients Turn to Telemedicine in the Coronavirus Outbreak,Health,"The use of virtual visits climbs as a way of safely treating patients and containing spread of the infection at hospitals, clinics and medical offices.",By Tariro Mzezewa
298,298,March 13,Soccer: English Premier League Suspended Due to Coronavirus,Soccer,"All elite soccer matches in England, including the Premier League, Football League (EFL) and Women's Super League (WSL),  were suspended until April 4 on Friday due to the coronavirus pandemic, English soccer's governing bodies said.",By Reuters
299,299,March 12,Trudeau Self-Isolates as Wife Is Tested for Coronavirus,Americas,"Canadian Prime Minister Justin Trudeau and his wife Sophie are in self-isolation after she came down with flu-like symptoms and was tested for the new coronavirus, according to an official statement on Thursday. ",By The Associated Press
300,300,Feb. 25,Ship Blocked From Jamaica and Cayman Islands Allowed to Dock in Mexico,Travel,"After a crew member with flu symptoms was reported, Jamaican and Cayman health authorities refused to let passengers disembark.",By The Associated Press
301,301,March 16,Dutch Businesses Rush for Government Assistance as Coronavirus Bites,Europe,"At least 27,000 Dutch companies have flooded the government with requests for financial assistance to mitigate the impact of the coronavirus epidemic, the Social Affairs Ministry said on Monday.",By Reuters
302,302,March 6,Miami Cancels Large Hispanic Music Festival Over Coronavirus,U.S.,Officials canceled on Friday a large Hispanic street festival in Miami's Little Havana neighborhood citing fears that crowded events could spread coronavirus more widely. ,By Reuters
303,303,March 14,"AP FACT CHECK: Trump, American Exceptionalism and the Virus",Politics,"Americans normally hear from President Donald Trump when he is opining on Twitter, riffing from a rally stage or otherwise improvising. This past week was different as he sat in the Oval Office with a script laid out for him to read on a matter grave enough for a prime-time address to the nation.",By Reuters
304,304,Feb. 14,"Corrections: Feb. 15, 2020",Corrections,"Corrections that appeared in print on Saturday, Feb. 15, 2020.",By Reuters
305,305,March 12,Death Toll in Iran From Coronavirus Reaches 429: Health Official,Middle East,"Iran on Thursday reported 75 new deaths from the coronavirus in the past 24 hours, the health ministry said, bringing the death toll to 429 in the worst-hit country in the Middle East.",By Reuters
306,306,March 18,"Poland to Receive Protective Gear, Tests From China to Fight Coronavirus",Europe,"Poland will receive more than 10,000 test kits and tens of thousands of other protective items such as masks, goggles and shoe covers from China to help tackle the coronavirus outbreak, Poland's Foreign Ministry said in a statement late on Wednesday.",By Sassafras Lowrey
307,307,March 17,Nissan Stops Production at UK Factory Over Coronavirus Impact,Business,"Nissan has stopped output at Britain's biggest car factory due to the impact from coronavirus as it assesses supply-chain disruption and the drop in demand, the most significant closure to affect the country's autos sector so far from the outbreak. ",By The Associated Press
308,308,March 16,Dutch PM Rutte Appeals to Nation to Come Together as Coronavirus Spreads,Europe,"A large portion of the Dutch population will contract coronavirus in the coming months, Dutch Prime Minister Mark Rutte cautioned on Monday, appealing to the country to pull together in the face of difficult times to come. ",By Reuters
309,309,March 9,Winter Sports Suspended in Italy Amid Coronavirus Outbreak,Skiing,"The Italian Winters Sports Federation (FISI) has announced the suspension of all sporting activity across its disciplines, including skiing, snowboarding and biathlon due to the coronavirus outbreak. ",By Reuters
310,310,March 17,Helping Your Dog Survive During a Quarantine,Smarter Living,"Quarantine means no one goes out — and that includes your pup, unless you have a private outdoor space for them. Here’s how to help your dog thrive while you’re both stuck indoors.",By Reuters
311,311,March 10,Seattle Small Businesses Pinched as Virus Keeps Workers Home,Business,"The coronavirus outbreak has largely emptied Seattle's usually busy downtown streets after Amazon and other companies told tens of thousands of people to work from home. That means far fewer customers for restaurants, shops and other businesses.",By Reuters
312,312,March 16,Ventilators: What Are They and What Do They Do?,Europe,"As Europe becomes the epicentre of the global coronavirus outbreak, national authorities are becoming increasingly concerned about a potential lack of ventilators, one of the key pieces of equipment needed to treat patients.",By Reuters
313,313,March 16,U.S. Peace Corps Suspends Global Operations Amid Coronavirus Outbreak,Asia Pacific,"U.S. humanitarian group the Peace Corps, said it will temporarily suspend all global operations and evacuate its volunteers, amid the ongoing coronavirus outbreak.",By Reuters
314,314,March 14,Rwanda Confirms First Case of Coronavirus-Health Ministry,Africa,"Rwanda has confirmed its first case of coronavirus, an Indian citizen who arrived in the East African nation from Mumbai on March 8, the Health Ministry said on Saturday.",By Reuters
315,315,March 16,EU Economy Likely to Shrink 1% in 2020 Because of Coronavirus: Commission,U.S.,"The EU economy is likely to shrink 1% this year as a result of the coronavirus, a European Commission document showed, but officials said internal Commission estimates were more pessimistic and pointed to a recession of even 2.5%.",By Reuters
316,316,March 8,Senator Cruz Self Quarantines After Contact With Coronavirus Carrier,Politics,U.S. Senator Ted Cruz on Sunday said he would self-quarantine after he had contact with a CPAC political conference attendee who tested positive for coronavirus. ,By Reuters
317,317,March 13,U.S. Treasury Chief Dashes Hopes for Broad Tariff Cut to Fight Coronavirus,Business,"The Trump administration is not considering broad relief from import tariffs on Chinese goods to ease economic pain from the coronavirus, U.S. Treasury Secretary Steven Mnuchin said on Friday, dashing the hopes of industry and some lawmakers.",By Farah Stockman and Mike Baker
318,318,March 17,Head of U.S. Military's Southern Command Tests Negative for Coronavirus,Americas,"The head of the U.S. military's Southern Command has tested negative for the new coronavirus, in what officials described on Tuesday as a precautionary step after meeting Brazilian President Jair Bolsonaro's delegation in Florida on March 8.",By Reuters
319,319,March 14,Venezuela Confirms Coronavirus Cases Amid Public Health Concerns,Americas,Venezuela on Friday confirmed its first two cases of coronavirus amid concerns that the economically struggling South American nation is unprepared to confront a pandemic that is spreading rapidly around the globe.,By Reuters
320,320,March 12,NCAA Cancels 'March Madness' Tournaments Over Coronavirus,Pro Basketball,"NCAA has canceled its 'March Madness' Division I men's and women's basketball tournaments, citing concern over the coronavirus pandemic which has hit sporting events across the world.",By The Associated Press
321,321,March 5,Nurses Battling Coronavirus Beg for Protective Gear and Better Planning,U.S.,"Health care workers are among the most at risk of contracting the virus, but many say they lack protective gear and protocols to keep themselves and their patients safe.",By Reuters
322,322,March 16,"Tom Hanks, Wife Rita Wilson Leave Hospital After Coronavirus Treatment: People Magazine",Arts,"Oscar-winning actor Tom Hanks and his wife, Rita Wilson, have left a hospital in Australia's Queensland state five days after testing positive for the coronavirus, People magazine reported on Monday.",By The Associated Press
323,323,March 11,"Sweden Reports First Coronavirus Death, Bans Large Gatherings",Europe,Sweden reported its first death from the new coronavirus on Wednesday and banned public gatherings of more than 500 people to try to stop the spread of the disease. ,By The Associated Press
324,324,March 8,Portugal's President Self-Isolates Amid Virus Outbreak,U.S.,The office of Portugal's 71-year-old president said Sunday that he has canceled all public activities and will stay at home amid the coronavirus outbreak. ,By Reuters
325,325,March 12,U.S. Weekly Jobless Claims Unexpectedly Fall,Business,"The number of Americans filing for unemployment benefit unexpectedly fell last week, but could rise in the coming weeks as the coronavirus pandemic causes companies to layoff workers amid supply chain disruptions and waning demand for some goods and services. ",By Reuters
326,326,March 10,Arsenal-City Game Called Off With Players in Self-Isolation,Soccer,"Members of Arsenal's playing squad went into self-isolation in a coronavirus precautionary move, forcing the postponement of the Premier League game at Manchester City later Wednesday.",By Reuters
327,327,March 10,Economic Toll of Virus Goes Global and Hits Close to Home,Business,Seven weeks after the first case of COVID-19 was confirmed in the U.,By The Associated Press
328,328,March 16,U.S. Could Pump $800 Billion or More Into Economy: Trump Adviser Kudlow,U.S.,"The United States could pump $800 billion or more into the economy to minimize damage from the coronavirus outbreak if Congress passes a payroll tax holiday through year end, White House economic adviser Larry Kudlow said on Monday.",By Reuters
329,329,March 11,"'March Madness' Attendance to Be Limited to Essential Staff, Families: NCAA",Pro Basketball,"Attendance at the NCAA's 'March Madness' basketball tournaments will be restricted to essential staff and limited family due to the ongoing coronavirus outbreak, the association's president Mark Emmert said on Wednesday.",By The Associated Press
330,330,March 18,Trump Administration Seeks $45.8 Billion in Extra Government Funding Amid Coronavirus,U.S.,"The Trump administration has requested an additional $45.8 billion from Congress to shore up U.S. agencies amid the fast-spreading coronavirus outbreak, a White House spokesman said on Wednesday.",By The Associated Press
331,331,March 17,US Industrial Production Rises 0.6% in February,Business,U.S. industrial production rose last month for the first time since November as chillier weather kept utiliities busy and an uptick in auto production pushed manufacturing output higher. The economic impact of the coronavirus outbreak was not apparent in the February numbers.,By Reuters
332,332,March 12,Quarantined Dog Tests Negative for Coronavirus in Hong Kong,Asia Pacific,"A dog held in quarantine in Hong Kong on suspicion of having the coronavirus has tested negative, the government said late on Thursday, easing fears over the possibility of human-to-animal transmission.",By Reuters
333,333,March 6,UN: 9 Countries Delay Rotating Troop and Police Over Virus,Asia Pacific,"Nine countries that contribute troops and police to the United Nations’ far-flung peacekeeping operations are delaying bringing in replacements for three months because of the new coronavirus, the United Nations said Friday.",By Reuters
334,334,March 15,Government Official: Coronavirus Vaccine Trial Starts Monday,Politics,"The first participant in a clinical trial for a vaccine to protect against the new coronavirus will receive an experimental dose on Monday, according to a government official.",By Reuters
335,335,March 11,Rising Food Costs Lift U.S. Consumer Prices; Coronavirus to Weigh on Inflation,Business,"U.S. consumer prices unexpectedly rose in February but could drop in the months ahead as the coronavirus outbreak depresses demand for some goods and services, outweighing price increases related to shortages caused by disruptions to the supply chain.",By Reuters
336,336,March 10,Washington Considers Actions to Bolster U.S. Economy as Coronavirus Cases Mount,U.S.,"As U.S. coronavirus cases rose steadily, the White House and Congress negotiated measures on Tuesday to bolster the U.S. economy and Americans' paychecks against the outbreak's impact, although there was no immediate sign of a deal.",By Reuters
337,337,March 11,French Group Biomerieux Launches Three Coronavirus Tests,Asia Pacific,"French healthcare company Biomerieux announced on Wednesday the launch of three tests to help fight a coronavirus that has killed thousands worldwide, and the updates lifted BioMerieux's shares.",By Reuters
338,338,March 8,Iran Reports Further Jump in Deaths From Coronavirus,Middle East,"Iran said 194 people had died from coronavirus and 6,566 were now infected, in a TV announcement by the Health Ministry on Sunday.",By The Associated Press
339,339,March 17,Coronavirus Justifies Moving Ex-Trump Lawyer Cohen Home From Prison-Letter,U.S.,"Michael Cohen, U.S. President Donald Trump's former personal lawyer and fixer, risks catching coronavirus while serving his three-year prison sentence, justifying his release into home confinement, Cohen's attorney said on Tuesday.",By The Associated Press
340,340,March 10,Washington Considers Actions to Bolster U.S. Economy as Coronavirus Cases Mount,U.S.,"As U.S. coronavirus cases rose steadily, the White House and Congress negotiated measures on Tuesday to bolster the U.S. economy and Americans' paychecks against the outbreak's impact, although there was no immediate sign of a deal.",By The Associated Press
341,341,March 17,Coronavirus Justifies Moving Ex-Trump Lawyer Cohen Home From Prison-Letter,U.S.,"Michael Cohen, U.S. President Donald Trump's former personal lawyer and fixer, risks catching coronavirus while serving his three-year prison sentence, justifying his release into home confinement, Cohen's attorney said on Tuesday.",By The Associated Press
342,342,March 17,Dear Corona Diary: German Patient Gives Updates on Twitter,Europe,"On the fifth day after she fell ill with COVID-19 respiratory disease, Karoline Preisler could breathe again without wincing through severe pain in her chest. ",By Reuters
343,343,March 16,Peace Corps Evacuating Volunteers Worldwide Amid Outbreak,Politics,The Peace Corps is telling its volunteers around the world that it is suspending all operations globally and evacuating all volunteers in light of the spread of the new coronavirus.,By Reuters
344,344,March 13,Coronavirus Travel Concerns Delay Ex-UAW Chief's Guilty Plea,Business,An expected guilty plea to corruption charges by former United Auto Workers President Gary Jones has been delayed due to the coronavirus and traveling concerns.,By The Associated Press
345,345,March 12,AP Source: UEFA to Decide on Plan to Postpone Euros a Year,Soccer,"UEFA is nearing a decision to postpone the European Championship by a year to 2021 as the continent grapples with the coronavirus pandemic, a person with knowledge of the situation told The Associated Press on Thursday.",By The Associated Press
346,346,March 5,Pfizer Weighs Working With BioNTech on Potential Coronavirus Vaccine: R&D Head,Europe,"Pfizer Inc is considering a collaboration with German drugmaker BioNTech SE to develop vaccines for the coronavirus using BioNTech's mRNA-based drug development platform, Pfizer's R&D head told Reuters on Thursday.",By The Associated Press
347,347,March 18,Elderly Dog Dies in Hong Kong After Release From Precautionary Coronavirus Quarantine,Asia Pacific,"A 17-year-old dog in Hong Kong, which had been cleared of the coronavirus after initial suspicions of infection were proven unfounded, has died two days after it was released from quarantine, authorities said on Wednesday.",By The Associated Press
348,348,March 12,"Live Nation, Carnival Fall; Vir Biotechnology, Rises",Business,Stocks that moved heavily or traded substantially on Thursday:,By The Associated Press
349,349,March 15,"Distance and Silence: Biden, Sanders Clash Without Audience",Politics,"They came together to bump elbows, then retreated by six feet — and stood there in awkward silence. ",By Reuters
350,350,March 11,The Latest: Stock Futures Signal More Losses in US Markets,Business,The Latest on the action in the financial markets (all times local):,By Reuters
351,351,10h ago,US Military's Role in Response to Virus Outbreak Is Growing,Politics,The Pentagon's role in responding to the coronavirus outbreak in the United States began to rapidly expand Wednesday as officials announced that two Navy hospital ships and two Army field hospitals were preparing to deploy to help overburdened regions.,By Reuters
352,352,March 9,Pearl Jam Postpones First Leg of Tour Over Virus Concerns,U.S.,"Pearl Jam is postponing the North American leg of its Gigaton world tour because of concerns over the new coronavirus, the band announced Monday.",By The Associated Press
